index,movie_name,document
490,Boyhood,"Boyhood The life of Mason, from early childhood to his arrival at college. Richard Linklater Ellar Coltrane Patricia Arquette Ethan Hawke Elijah Smith A 2014"
491,"4 luni, 3 saptamâni si 2 zile","4 luni, 3 saptamâni si 2 zile A woman assists her friend in arranging an illegal abortion in 1980s Romania. Cristian Mungiu Anamaria Marinca Laura Vasiliu Vlad Ivanov Alexandru Potocean nan 2007"
492,Star Trek,Star Trek The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time. J.J. Abrams Chris Pine Zachary Quinto Simon Pegg Leonard Nimoy UA 2009
493,In Bruges,"In Bruges Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be. Martin McDonagh Colin Farrell Brendan Gleeson Ciarán Hinds Elizabeth Berrington R 2008"
494,The Man from Earth,The Man from Earth An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine. Richard Schenkman David Lee Smith Tony Todd John Billingsley Ellen Crawford nan 2007
495,Letters from Iwo Jima,"Letters from Iwo Jima The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it. Clint Eastwood Ken Watanabe Kazunari Ninomiya Tsuyoshi Ihara Ryô Kase UA 2006"
496,The Fall,"The Fall In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances. Tarsem Singh Lee Pace Catinca Untaru Justine Waddell Kim Uylenbroek R 2006"
497,Life of Pi,"Life of Pi A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger. Ang Lee Suraj Sharma Irrfan Khan Adil Hussain Tabu U 2012"
498,Fantastic Mr. Fox,Fantastic Mr. Fox An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation. Wes Anderson George Clooney Meryl Streep Bill Murray Jason Schwartzman PG 2009
499,C.R.A.Z.Y.,"C.R.A.Z.Y. A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs. Jean-Marc Vallée Michel Côté Marc-André Grondin Danielle Proulx Émile Vallée nan 2005"
500,Les choristes,Les choristes The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music. Christophe Barratier Gérard Jugnot François Berléand Jean-Baptiste Maunier Kad Merad PG-13 2004
501,Iron Man,"Iron Man After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil. Jon Favreau Robert Downey Jr. Gwyneth Paltrow Terrence Howard Jeff Bridges UA 2008"
502,Shaun of the Dead,Shaun of the Dead A man's uneventful life is disrupted by the zombie apocalypse. Edgar Wright Simon Pegg Nick Frost Kate Ashfield Lucy Davis UA 2004
503,Gegen die Wand,"Gegen die Wand With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love. Fatih Akin Birol Ünel Sibel Kekilli Güven Kiraç Zarah Jane McKenzie R 2004"
504,Mystic River,Mystic River The lives of three men who were childhood friends are shattered when one of them has a family tragedy. Clint Eastwood Sean Penn Tim Robbins Kevin Bacon Emmy Rossum A 2003
505,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard. Alfonso Cuarón Daniel Radcliffe Emma Watson Rupert Grint Richard Griffiths U 2004"
506,Ying xiong,"Ying xiong A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors. Yimou Zhang Jet Li Tony Chiu-Wai Leung Maggie Cheung Ziyi Zhang PG-13 2002"
507,Hable con ella,Hable con ella Two men share an odd friendship while they care for two women who are both in deep comas. Pedro Almodóvar Rosario Flores Javier Cámara Darío Grandinetti Leonor Watling R 2002
508,No Man's Land,"No Man's Land Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap. Danis Tanovic Branko Djuric Rene Bitorajac Filip Sovagovic Georges Siatidis R 2001"
509,Cowboy Bebop: Tengoku no tobira,"Cowboy Bebop: Tengoku no tobira A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit. Shin'ichirô Watanabe Tensai Okamura Hiroyuki Okiura Yoshiyuki Takei Beau Billingslea U 2001"
510,The Bourne Identity,"The Bourne Identity A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory. Doug Liman Franka Potente Matt Damon Chris Cooper Clive Owen UA 2002"
511,Nueve reinas,"Nueve reinas Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens""). Fabián Bielinsky Ricardo Darín Gastón Pauls Graciela Tenenbaum María Mercedes Villagra R 2000"
512,Children of Men,"Children of Men In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea. Alfonso Cuarón Julianne Moore Clive Owen Chiwetel Ejiofor Michael Caine A 2006"
513,Almost Famous,Almost Famous A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour. Cameron Crowe Billy Crudup Patrick Fugit Kate Hudson Frances McDormand A 2000
514,Mulholland Dr.,"Mulholland Dr. After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality. David Lynch Naomi Watts Laura Harring Justin Theroux Jeanne Bates R 2001"
515,Toy Story 2,"Toy Story 2 When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye. John Lasseter Ash Brannon Lee Unkrich Tom Hanks Tim Allen U 1999"
516,Boogie Nights,"Boogie Nights Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent. Paul Thomas Anderson Mark Wahlberg Julianne Moore Burt Reynolds Luis Guzmán R 1997"
517,Mimi wo sumaseba,"Mimi wo sumaseba A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses. Yoshifumi Kondô Yoko Honna Issey Takahashi Takashi Tachibana Shigeru Muroi U 1995"
518,Once Were Warriors,Once Were Warriors A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts. Lee Tamahori Rena Owen Temuera Morrison Mamaengaroa Kerr-Bell Julian Arahanga A 1994
519,True Romance,"True Romance In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it. Tony Scott Christian Slater Patricia Arquette Dennis Hopper Val Kilmer R 1993"
520,Trois couleurs: Bleu,Trois couleurs: Bleu A woman struggles to find a way to live her life after the death of her husband and child. Krzysztof Kieslowski Juliette Binoche Zbigniew Zamachowski Julie Delpy Benoît Régent U 1993
521,Jûbê ninpûchô,Jûbê ninpûchô A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate. Yoshiaki Kawajiri Kôichi Yamadera Emi Shinohara Takeshi Aono Osamu Saka A 1993
522,Carlito's Way,"Carlito's Way A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C. Brian De Palma Al Pacino Sean Penn Penelope Ann Miller John Leguizamo A 1993"
523,Edward Scissorhands,"Edward Scissorhands An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world. Tim Burton Johnny Depp Winona Ryder Dianne Wiest Anthony Michael Hall U 1990"
524,My Left Foot: The Story of Christy Brown,"My Left Foot: The Story of Christy Brown Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot. Jim Sheridan Daniel Day-Lewis Brenda Fricker Alison Whelan Kirsten Sheridan U 1989"
525,Crimes and Misdemeanors,Crimes and Misdemeanors An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman. Woody Allen Martin Landau Woody Allen Bill Bernstein Claire Bloom PG-13 1989
526,The Untouchables,"The Untouchables During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him. Brian De Palma Kevin Costner Sean Connery Robert De Niro Charles Martin Smith A 1987"
527,Hannah and Her Sisters,"Hannah and Her Sisters Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly. Woody Allen Mia Farrow Dianne Wiest Michael Caine Barbara Hershey PG-13 1986"
528,Brazil,Brazil A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams. Terry Gilliam Jonathan Pryce Kim Greist Robert De Niro Katherine Helmond U 1985
529,This Is Spinal Tap,"This Is Spinal Tap Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour. Rob Reiner Rob Reiner Michael McKean Christopher Guest Kimberly Stringer R 1984"
530,A Christmas Story,"A Christmas Story In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift. Bob Clark Peter Billingsley Melinda Dillon Darren McGavin Scott Schwartz U 1983"
531,The Blues Brothers,"The Blues Brothers Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised. John Landis John Belushi Dan Aykroyd Cab Calloway John Candy U 1980"
532,Manhattan,Manhattan The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress. Woody Allen Woody Allen Diane Keaton Mariel Hemingway Michael Murphy R 1979
533,All That Jazz,"All That Jazz Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer. Bob Fosse Roy Scheider Jessica Lange Ann Reinking Leland Palmer A 1979"
534,Dawn of the Dead,"Dawn of the Dead Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall. George A. Romero David Emge Ken Foree Scott H. Reiniger Gaylen Ross A 1978"
535,All the President's Men,"All the President's Men ""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation. Alan J. Pakula Dustin Hoffman Robert Redford Jack Warden Martin Balsam U 1976"
536,La montaña sagrada,"La montaña sagrada In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment. Alejandro Jodorowsky Alejandro Jodorowsky Horacio Salinas Zamira Saunders Juan Ferrara R 1973"
537,Amarcord,Amarcord A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town. Federico Fellini Magali Noël Bruno Zanin Pupella Maggio Armando Brancia R 1973
538,Le charme discret de la bourgeoisie,"Le charme discret de la bourgeoisie A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together. Luis Buñuel Fernando Rey Delphine Seyrig Paul Frankeur Bulle Ogier PG 1972"
539,"Aguirre, der Zorn Gottes","Aguirre, der Zorn Gottes In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado. Werner Herzog Klaus Kinski Ruy Guerra Helena Rojo Del Negro nan 1972"
540,Harold and Maude,"Harold and Maude Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral. Hal Ashby Ruth Gordon Bud Cort Vivian Pickles Cyril Cusack PG 1971"
541,Patton,Patton The World War II phase of the career of controversial American general George S. Patton. Franklin J. Schaffner George C. Scott Karl Malden Stephen Young Michael Strong U 1970
542,The Wild Bunch,"The Wild Bunch An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them. Sam Peckinpah William Holden Ernest Borgnine Robert Ryan Edmond O'Brien A 1969"
543,Night of the Living Dead,Night of the Living Dead A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States. George A. Romero Duane Jones Judith O'Dea Karl Hardman Marilyn Eastman nan 1968
544,The Lion in Winter,"The Lion in Winter 1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him. Anthony Harvey Peter O'Toole Katharine Hepburn Anthony Hopkins John Castle PG 1968"
545,In the Heat of the Night,In the Heat of the Night A black police detective is asked to investigate a murder in a racially hostile southern town. Norman Jewison Sidney Poitier Rod Steiger Warren Oates Lee Grant U 1967
546,Charade,Charade Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust? Stanley Donen Cary Grant Audrey Hepburn Walter Matthau James Coburn U 1963
547,The Manchurian Candidate,The Manchurian Candidate A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy. John Frankenheimer Frank Sinatra Laurence Harvey Janet Leigh Angela Lansbury PG-13 1962
548,Spartacus,Spartacus The slave Spartacus leads a violent revolt against the decadent Roman Republic. Stanley Kubrick Kirk Douglas Laurence Olivier Jean Simmons Charles Laughton A 1960
549,L'avventura,"L'avventura A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other. Michelangelo Antonioni Gabriele Ferzetti Monica Vitti Lea Massari Dominique Blanchar U 1960"
550,Hiroshima mon amour,Hiroshima mon amour A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war. Alain Resnais Emmanuelle Riva Eiji Okada Stella Dassas Pierre Barbaud nan 1959
551,The Ten Commandments,"The Ten Commandments Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people. Cecil B. DeMille Charlton Heston Yul Brynner Anne Baxter Edward G. Robinson U 1956"
552,The Searchers,The Searchers An American Civil War veteran embarks on a journey to rescue his niece from the Comanches. John Ford John Wayne Jeffrey Hunter Vera Miles Ward Bond Passed 1956
553,East of Eden,"East of Eden Two brothers struggle to maintain their strict, Bible-toting father's favor. Elia Kazan James Dean Raymond Massey Julie Harris Burl Ives U 1955"
554,High Noon,"High Noon A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train. Fred Zinnemann Gary Cooper Grace Kelly Thomas Mitchell Lloyd Bridges PG 1952"
555,Strangers on a Train,Strangers on a Train A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder. Alfred Hitchcock Farley Granger Robert Walker Ruth Roman Leo G. Carroll A 1951
556,Harvey,"Harvey Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows. Henry Koster James Stewart Wallace Ford William H. Lynn Victoria Horne Approved 1950"
557,Miracle on 34th Street,"Miracle on 34th Street When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing. George Seaton Edmund Gwenn Maureen O'Hara John Payne Gene Lockhart nan 1947"
558,Notorious,Notorious A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them? Alfred Hitchcock Cary Grant Ingrid Bergman Claude Rains Louis Calhern U 1946
559,The Big Sleep,"The Big Sleep Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love. Howard Hawks Humphrey Bogart Lauren Bacall John Ridgely Martha Vickers Passed 1946"
560,The Lost Weekend,The Lost Weekend The desperate life of a chronic alcoholic is followed through a four-day drinking bout. Billy Wilder Ray Milland Jane Wyman Phillip Terry Howard Da Silva Passed 1945
561,The Philadelphia Story,"The Philadelphia Story When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself. George Cukor Cary Grant Katharine Hepburn James Stewart Ruth Hussey nan 1940"
562,His Girl Friday,His Girl Friday A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying. Howard Hawks Cary Grant Rosalind Russell Ralph Bellamy Gene Lockhart Passed 1940
563,The Adventures of Robin Hood,"The Adventures of Robin Hood When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army. Michael Curtiz William Keighley Errol Flynn Olivia de Havilland Basil Rathbone PG 1938"
564,A Night at the Opera,A Night at the Opera A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies. Sam Wood Edmund Goulding Groucho Marx Chico Marx Harpo Marx Passed 1935
565,King Kong,King Kong A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition. Merian C. Cooper Ernest B. Schoedsack Fay Wray Robert Armstrong Bruce Cabot Passed 1933
566,Freaks,"Freaks A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance. Tod Browning Wallace Ford Leila Hyams Olga Baclanova Roscoe Ates nan 1932"
567,Nosferatu,Nosferatu Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife. F.W. Murnau Max Schreck Alexander Granach Gustav von Wangenheim Greta Schröder nan 1922
568,The Gentlemen,"The Gentlemen An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him. Guy Ritchie Matthew McConaughey Charlie Hunnam Michelle Dockery Jeremy Strong A 2019"
569,Raazi,Raazi A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971. Meghna Gulzar Alia Bhatt Vicky Kaushal Rajit Kapoor Shishir Sharma UA 2018
570,Sound of Metal,Sound of Metal A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing. Darius Marder Riz Ahmed Olivia Cooke Paul Raci Lauren Ridloff R 2019
571,Forushande,"Forushande While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections. Asghar Farhadi Shahab Hosseini Taraneh Alidoosti Babak Karimi Mina Sadati UA 2016"
572,Dunkirk,"Dunkirk Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II. Christopher Nolan Fionn Whitehead Barry Keoghan Mark Rylance Tom Hardy UA 2017"
573,Perfetti sconosciuti,"Perfetti sconosciuti Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles. Paolo Genovese Giuseppe Battiston Anna Foglietta Marco Giallini Edoardo Leo nan 2016"
574,Hidden Figures,Hidden Figures The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program. Theodore Melfi Taraji P. Henson Octavia Spencer Janelle Monáe Kevin Costner UA 2016
575,Paddington 2,"Paddington 2 Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen. Paul King Ben Whishaw Hugh Grant Hugh Bonneville Sally Hawkins U 2017"
576,Udta Punjab,Udta Punjab A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline. Abhishek Chaubey Shahid Kapoor Alia Bhatt Kareena Kapoor Diljit Dosanjh A 2016
577,Kubo and the Two Strings,Kubo and the Two Strings A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past. Travis Knight Charlize Theron Art Parkinson Matthew McConaughey Ralph Fiennes PG 2016
578,M.S. Dhoni: The Untold Story,M.S. Dhoni: The Untold Story The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team. Neeraj Pandey Sushant Singh Rajput Kiara Advani Anupam Kher Disha Patani U 2016
579,Manchester by the Sea,Manchester by the Sea A depressed uncle is asked to take care of his teenage nephew after the boy's father dies. Kenneth Lonergan Casey Affleck Michelle Williams Kyle Chandler Lucas Hedges UA 2016
580,Under sandet,"Under sandet In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight. Martin Zandvliet Roland Møller Louis Hofmann Joel Basman Mikkel Boe Følsgaard R 2015"
581,Rogue One,Rogue One The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star. Gareth Edwards Felicity Jones Diego Luna Alan Tudyk Donnie Yen UA 2016
582,Captain America: Civil War,Captain America: Civil War Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man. Anthony Russo Joe Russo Chris Evans Robert Downey Jr. Scarlett Johansson UA 2016
583,The Hateful Eight,"The Hateful Eight In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters. Quentin Tarantino Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins A 2015"
584,Little Women,"Little Women Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms. Greta Gerwig Saoirse Ronan Emma Watson Florence Pugh Eliza Scanlen U 2019"
585,Loving Vincent,"Loving Vincent In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there. Dorota Kobiela Hugh Welchman Douglas Booth Jerome Flynn Robert Gulaczyk UA 2017"
586,Pride,Pride U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984. Matthew Warchus Bill Nighy Imelda Staunton Dominic West Paddy Considine R 2014
587,Le passé,"Le passé An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce. Asghar Farhadi Bérénice Bejo Tahar Rahim Ali Mosaffa Pauline Burlet PG-13 2013"
588,La grande bellezza,"La grande bellezza Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty. Paolo Sorrentino Toni Servillo Carlo Verdone Sabrina Ferilli Carlo Buccirosso nan 2013"
589,The Lunchbox,The Lunchbox A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox. Ritesh Batra Irrfan Khan Nimrat Kaur Nawazuddin Siddiqui Lillete Dubey U 2013
590,Vicky Donor,"Vicky Donor A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic. Shoojit Sircar Ayushmann Khurrana Yami Gautam Annu Kapoor Dolly Ahluwalia UA 2012"
591,Big Hero 6,"Big Hero 6 A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes. Don Hall Chris Williams Ryan Potter Scott Adsit Jamie Chung U 2014"
592,About Time,"About Time At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think. Richard Curtis Domhnall Gleeson Rachel McAdams Bill Nighy Lydia Wilson R 2013"
593,English Vinglish,"English Vinglish A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English. Gauri Shinde Sridevi Adil Hussain Mehdi Nebbou Priya Anand U 2012"
594,Kaze tachinu,"Kaze tachinu A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II. Hayao Miyazaki Hideaki Anno Hidetoshi Nishijima Miori Takimoto Masahiko Nishimura PG-13 2013"
595,Toy Story 4,"Toy Story 4 When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy. Josh Cooley Tom Hanks Tim Allen Annie Potts Tony Hale U 2019"
596,La migliore offerta,La migliore offerta A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining. Giuseppe Tornatore Geoffrey Rush Jim Sturgess Sylvia Hoeks Donald Sutherland R 2013
597,Moonrise Kingdom,"Moonrise Kingdom A pair of young lovers flee their New England town, which causes a local search party to fan out to find them. Wes Anderson Jared Gilman Kara Hayward Bruce Willis Bill Murray A 2012"
598,How to Train Your Dragon 2,"How to Train Your Dragon 2 When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace. Dean DeBlois Jay Baruchel Cate Blanchett Gerard Butler Craig Ferguson U 2014"
599,The Big Short,The Big Short In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is. Adam McKay Christian Bale Steve Carell Ryan Gosling Brad Pitt A 2015
600,Kokuhaku,Kokuhaku A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death. Tetsuya Nakashima Takako Matsu Yoshino Kimura Masaki Okada Yukito Nishii nan 2010
601,Ang-ma-reul bo-at-da,Ang-ma-reul bo-at-da A secret agent exacts revenge on a serial killer through a series of captures and releases. Jee-woon Kim Lee Byung-Hun Choi Min-sik Jeon Gook-Hwan Ho-jin Chun nan 2010
602,The Girl with the Dragon Tattoo,"The Girl with the Dragon Tattoo Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker. David Fincher Daniel Craig Rooney Mara Christopher Plummer Stellan Skarsgård R 2011"
603,Captain Phillips,"Captain Phillips The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years. Paul Greengrass Tom Hanks Barkhad Abdi Barkhad Abdirahman Catherine Keener UA 2013"
604,Ajeossi,Ajeossi A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend. Jeong-beom Lee Won Bin Sae-ron Kim Tae-hoon Kim Hee-won Kim R 2010
605,Straight Outta Compton,"Straight Outta Compton The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood. F. Gary Gray O'Shea Jackson Jr. Corey Hawkins Jason Mitchell Neil Brown Jr. R 2015"
606,Madeo,Madeo A mother desperately searches for the killer who framed her son for a girl's horrific murder. Bong Joon Ho Hye-ja Kim Won Bin Jin Goo Je-mun Yun R 2009
607,Chugyeokja,Chugyeokja A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing. Hong-jin Na Kim Yoon-seok Jung-woo Ha Yeong-hie Seo Yoo-Jeong Kim nan 2008
608,The Hobbit: The Desolation of Smaug,"The Hobbit: The Desolation of Smaug The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring. Peter Jackson Ian McKellen Martin Freeman Richard Armitage Ken Stott UA 2013"
609,Das weiße Band - Eine deutsche Kindergeschichte,"Das weiße Band - Eine deutsche Kindergeschichte Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible? Michael Haneke Christian Friedel Ernst Jacobi Leonie Benesch Ulrich Tukur UA 2009"
610,Män som hatar kvinnor,Män som hatar kvinnor A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years. Niels Arden Oplev Michael Nyqvist Noomi Rapace Ewa Fröling Lena Endre R 2009
